"Observation Report",

"Score Definition"
"5 = Excellent","4 = Good","3 = Neutral","2 = Need To Improved","1 = Not Observed"

SL,"Branch Name","Project Name","Entry Date","Data Submission Date","Activity Name",Year,Month,"Start Date","Start Time","End Date","End Time",Division,District,Upazila,Union,"Event Location","Event Village","Event Ward","Preparatory Work","Time management of the event was","Participants attention","Logistical arrangements","Relevancy of delivery of messages","Participants Feedback","Event Note","Submitted By"
2535,Sharsha,DCBTN-CIFF,,28-04-2021,"Interactive Popular Theatre Show (IPT)",0000,October,21-10-2020,09:30:00,21-10-2020,10:05:00,Khulna,Jashore,Sharsha,Ulshi,,"Matipukur Majopara, Ulasi",5,4,4,4,4,4,4,,
2536,Sharsha,DCBTN-CIFF,,28-04-2021,"Community Meeting",0000,October,21-10-2020,09:05:00,21-10-2020,09:30:00,Khulna,Jashore,Sharsha,Ulshi,,"Jirangasha Pochimpara, Ulasi ",6,4,4,4,4,4,4,,
2537,Sharsha,DCBTN-CIFF,,28-04-2021,"Interactive Popular Theatre Show (IPT)",0000,October,21-10-2020,08:30:00,21-10-2020,09:05:00,Khulna,Jashore,Sharsha,Ulshi,,"Jirangasha Pochimpara, Ulasi ",6,4,4,4,4,4,4,,
2538,Chaugaschha,DCBTN-CIFF,,28-04-2021,"Community Meeting",0000,December,10-12-2020,14:35:42,10-12-2020,15:00:42,Khulna,Jashore,Chougachha,Hakimpur,"MAJER PARA SUKUMAR AR BARI","Taherpur ",,4,4,3,3,4,4,"We will make any of our relatives aware, So that human trafficking is stopped. ",
2539,Chaugaschha,DCBTN-CIFF,,28-04-2021,"Interactive Popular Theatre Show (IPT)",0000,December,10-12-2020,14:00:07,10-12-2020,14:35:07,Khulna,Jashore,Chougachha,Hakimpur,"MAJER PARA SUKUMAR AR BARI","Taherpur ",,4,4,4,4,4,4,"We will make any of our relatives aware, So that human trafficking is stopped. ",
2540,Chaugaschha,DCBTN-CIFF,,28-04-2021,"Community Meeting",0000,December,10-12-2020,16:05:06,10-12-2020,16:30:06,Khulna,Jashore,Chougachha,Hakimpur,"KALITALA MONDIR AR PASE ",Hakimpur,,4,4,4,4,4,4,"We will make any of our relatives aware, So that human trafficking is stopped. ",
2541,Chaugaschha,DCBTN-CIFF,,28-04-2021,"Interactive Popular Theatre Show (IPT)",0000,December,10-12-2020,15:30:21,10-12-2020,16:05:21,Khulna,Jashore,Chougachha,Hakimpur,"Kalitola mondir ar pose ",Hakimpur,,4,4,3,3,3,4,"We will make any of our relatives aware, So that human trafficking is stopped. ",
2542,Chaugaschha,DCBTN-CIFF,,28-04-2021,"Community Meeting",0000,December,10-12-2020,12:35:15,10-12-2020,13:00:15,Khulna,Jashore,Chougachha,Hakimpur,"Sri peso deb ar bari dokkin para ","Taherpur ",,4,4,3,3,4,4,"We will make any of our relatives aware, So that human trafficking is stopped. ",
2543,Chaugaschha,DCBTN-CIFF,,28-04-2021,"Interactive Popular Theatre Show (IPT)",0000,December,10-12-2020,12:00:40,10-12-2020,12:35:40,Khulna,Jashore,Chougachha,Hakimpur,"Sri Pesho deb ar bari dokkin para ","Taherpur ",,4,4,4,4,4,4,"We will make any of our relatives aware, So that human trafficking is stopped. ",
2544,Chaugaschha,DCBTN-CIFF,,28-04-2021,"Community Meeting",0000,December,10-12-2020,11:05:53,10-12-2020,11:30:53,Khulna,Jashore,Chougachha,Hakimpur,"Latip ar bari mollah para ",Tajbijpur,,4,4,4,4,3,3,"We will make any of our relatives aware, So that human trafficking is stopped. ",
2545,Manirampur,DCBTN-CIFF,,28-04-2021,"Community Meeting",0000,September,30-09-2020,04:35:00,30-09-2020,05:00:00,Khulna,Jashore,Manirampur,Khanpur,"Moholdar para",Masna,02,4,4,4,4,4,4,"Good ",
2546,Chaugaschha,DCBTN-CIFF,,28-04-2021,"Interactive Popular Theatre Show (IPT)",0000,December,10-12-2020,10:30:02,10-12-2020,11:05:02,Khulna,Jashore,Chougachha,Hakimpur,"Talip ar bari Mollah para ",Tajbijpur,,4,4,4,4,4,4,"We will make any of our relatives aware, So that human trafficking is stopped. ",
2547,Manirampur,DCBTN-CIFF,,28-04-2021,"Interactive Popular Theatre Show (IPT)",0000,September,30-09-2020,04:00:00,30-09-2020,04:35:00,Khulna,Jashore,Manirampur,Khanpur,"Moholdar para",Masna,02,4,4,4,4,4,4,"Good ",
2548,Chaugaschha,DCBTN-CIFF,,28-04-2021,"Community Meeting",0000,December,10-12-2020,09:35:05,10-12-2020,10:00:05,Khulna,Jashore,Chougachha,Hakimpur,"Becha das ar bari potrbo para ",Tajbijpur,,4,4,4,4,4,4,"We will make any of our relatives aware, So that human trafficking is stopped. ",
2549,Manirampur,DCBTN-CIFF,,28-04-2021,"Community Meeting",0000,September,30-09-2020,03:05:00,30-09-2020,03:30:00,Khulna,Jashore,Manirampur,Khanpur,"Das para",Baliadanga,07,4,4,4,4,4,4,"Good ",
2550,Chaugaschha,DCBTN-CIFF,,28-04-2021,"Interactive Popular Theatre Show (IPT)",0000,December,10-12-2020,09:00:42,10-12-2020,09:35:42,Khulna,Jashore,Chougachha,Hakimpur,"Becha ar bari porbo para ",Tajbijpur,,4,4,4,4,4,4,"We will make any of our relatives aware, So that human trafficking is stopped. ",
2551,Manirampur,DCBTN-CIFF,,28-04-2021,"Interactive Popular Theatre Show (IPT)",0000,September,30-09-2020,02:30:00,30-09-2020,03:05:00,Khulna,Jashore,Manirampur,Khanpur,"Das para",Baliadanga,07,4,4,4,4,4,4,"Good ",
2552,Chaugaschha,DCBTN-CIFF,,28-04-2021,"Community Meeting",0000,December,09-12-2020,16:05:45,09-12-2020,16:30:45,Khulna,Jashore,Chougachha,Jagadishpur,"JALAL AR BARI ",Mirjapur,,4,4,3,3,3,3,"We will make any of our relatives aware, So that human trafficking is stopped. ",
2553,Chaugaschha,DCBTN-CIFF,,28-04-2021,"Interactive Popular Theatre Show (IPT)",0000,December,09-12-2020,15:30:28,09-12-2020,16:05:28,Khulna,Jashore,Chougachha,Jagadishpur,"Jalal ar bari ",Mirjapur,,4,4,4,4,4,4,"We will make any of our relatives aware, So that human trafficking is stopped. ",
2554,Manirampur,DCBTN-CIFF,,28-04-2021,"Community Meeting",0000,September,30-09-2020,12:35:00,30-09-2020,01:00:00,Khulna,Jashore,Manirampur,Khanpur,"Pal para",Baliadanga,07,4,4,4,4,4,4,"Good ",
2555,Manirampur,DCBTN-CIFF,,28-04-2021,"Interactive Popular Theatre Show (IPT)",0000,September,30-09-2020,12:00:00,30-09-2020,12:35:00,Khulna,Jashore,Manirampur,Khanpur,"Pal para",Baliadanga,07,4,4,4,4,4,4,"Good ",
2556,Chaugaschha,DCBTN-CIFF,,28-04-2021,"Community Meeting",0000,December,09-12-2020,14:35:13,09-12-2020,15:00:13,Khulna,Jashore,Chougachha,Jagadishpur,"Haidar ar bari south para",Durgapur,,4,4,4,4,4,4,"We will make any of our relatives aware, So that human trafficking is stopped. ",
2557,Chaugaschha,DCBTN-CIFF,,28-04-2021,"Interactive Popular Theatre Show (IPT)",0000,December,09-12-2020,14:00:38,09-12-2020,14:35:38,Khulna,Jashore,Chougachha,Jagadishpur,"Haidar ar bari south para ",Durgapur,,4,4,4,4,4,4,"We will make any of our relatives aware, So that human trafficking is stopped. ",
2558,Manirampur,DCBTN-CIFF,,28-04-2021,"Community Meeting",0000,September,30-09-2020,11:05:00,30-09-2020,11:30:00,Khulna,Jashore,Manirampur,Khanpur,"Selai center",Masna,02,4,4,4,4,4,4,"Good ",
2559,Chaugaschha,DCBTN-CIFF,,28-04-2021,"Community Meeting",0000,December,09-12-2020,12:35:09,09-12-2020,13:00:09,Khulna,Jashore,Chougachha,Jagadishpur,"Abbas ar bari porbo para ",Jagadishpur,,4,4,4,4,4,4,"We will make any of our relatives aware, So that human trafficking is stopped. ",
2560,Chaugaschha,DCBTN-CIFF,,28-04-2021,"Interactive Popular Theatre Show (IPT)",0000,December,09-12-2020,12:00:31,09-12-2020,12:35:31,Khulna,Jashore,Chougachha,Jagadishpur,"Abbas ar bari porbo para ",Jagadishpur,,4,4,4,4,4,4,"We will make any of our relatives aware, So that human trafficking is stopped. ",
2561,Manirampur,DCBTN-CIFF,,28-04-2021,"Interactive Popular Theatre Show (IPT)",0000,September,30-09-2020,10:30:00,30-09-2020,11:05:00,Khulna,Jashore,Manirampur,Khanpur,"Selai center",Masna,02,4,4,4,4,4,4,"Good ",
2562,Chaugaschha,DCBTN-CIFF,,28-04-2021,"Community Meeting",0000,December,09-12-2020,11:05:03,09-12-2020,11:30:03,Khulna,Jashore,Chougachha,Jagadishpur,"Enayat ar bari south para ",Jagadishpur,,4,4,4,4,4,4,"We will make any of our relatives aware, So that human trafficking is stopped. ",
2563,Chaugaschha,DCBTN-CIFF,,28-04-2021,"Interactive Popular Theatre Show (IPT)",0000,December,09-12-2020,10:30:23,09-12-2020,11:05:23,Khulna,Jashore,Chougachha,Jagadishpur,"Enayat ar bari south para",Jagadishpur,,4,4,4,4,4,4,"We will make any of our relatives aware, So that human trafficking is stopped. ",
2564,Manirampur,DCBTN-CIFF,,28-04-2021,"Community Meeting",0000,September,30-09-2020,09:35:00,30-09-2020,10:00:00,Khulna,Jashore,Manirampur,Khanpur,"Shekh para",Satnol,03,4,4,4,4,4,4,"Good ",
2565,Chaugaschha,DCBTN-CIFF,,28-04-2021,"Community Meeting",0000,December,09-12-2020,09:35:28,09-12-2020,10:00:28,Khulna,Jashore,Chougachha,Jagadishpur,"Habib ar bari majer para ",Jagadishpur,,3,3,4,4,3,3,"We will make any of our relatives aware, So that human trafficking is stopped. ",
2566,Manirampur,DCBTN-CIFF,,28-04-2021,"Interactive Popular Theatre Show (IPT)",0000,September,30-09-2020,09:00:00,30-09-2020,09:35:00,Khulna,Jashore,Manirampur,Khanpur,"Shekh para",Satnol,03,4,4,4,4,4,4,"Good ",
2567,Chaugaschha,DCBTN-CIFF,,28-04-2021,"Interactive Popular Theatre Show (IPT)",0000,December,09-12-2020,09:00:47,09-12-2020,09:35:47,Khulna,Jashore,Chougachha,Jagadishpur,"Habib ar bari majer para",Jagadishpur,,4,4,4,4,4,4,"We will make any of our relatives aware.",
2568,Chaugaschha,DCBTN-CIFF,,28-04-2021,"Community Meeting",0000,December,08-12-2020,16:35:33,08-12-2020,17:00:33,Khulna,Jashore,Chougachha,Patibila,"Gafor ar bari abasan para",Hazratpur,,4,4,4,4,4,4,"We will make any of our relatives aware.",
2569,Chaugaschha,DCBTN-CIFF,,28-04-2021,"Interactive Popular Theatre Show (IPT)",0000,December,08-12-2020,16:00:37,08-12-2020,16:35:37,Khulna,Jashore,Chougachha,Patibila,"Gafor ar bari Abasan para",Hazratpur,,4,4,4,4,4,4,"We will make any of our relatives aware.",
2570,Chaugaschha,DCBTN-CIFF,,28-04-2021,"Community Meeting",0000,December,08-12-2020,15:05:14,08-12-2020,15:30:14,Khulna,Jashore,Chougachha,Patibila,"Otul sattar ar bari",Hazratpur,,4,4,3,3,3,3,"We will make any of our relatives aware.",
2571,Chaugaschha,DCBTN-CIFF,,28-04-2021,"Interactive Popular Theatre Show (IPT)",0000,December,08-12-2020,14:30:48,08-12-2020,15:05:48,Khulna,Jashore,Chougachha,Patibila,"Otul sattar ar bari ",Hazratpur,,4,4,4,4,4,4,"We will make any of our relatives aware.",
2572,Chaugaschha,DCBTN-CIFF,,28-04-2021,"Community Meeting",0000,December,08-12-2020,12:35:11,08-12-2020,13:00:11,Khulna,Jashore,Chougachha,Patibila,"Basar ar bari south para",Patibila,,4,4,4,4,4,4,"We will make any of our relatives aware.",
2573,Chaugaschha,DCBTN-CIFF,,28-04-2021,"Interactive Popular Theatre Show (IPT)",0000,December,08-12-2020,12:00:01,08-12-2020,11:34:01,Khulna,Jashore,Chougachha,Patibila,"Basar ar bari south para",Patibila,,4,4,4,4,4,4,"We will make any of our relatives aware.",
2574,Chaugaschha,DCBTN-CIFF,,28-04-2021,"Community Meeting",0000,December,08-12-2020,11:05:53,08-12-2020,11:30:53,Khulna,Jashore,Chougachha,Patibila,"Faruk ar bari mat para ",Patibila,,4,4,4,4,4,4,"We will make any of our relatives aware.",
2575,Chaugaschha,DCBTN-CIFF,,28-04-2021,"Interactive Popular Theatre Show (IPT)",0000,December,08-12-2020,10:30:54,08-12-2020,11:05:54,Khulna,Jashore,Chougachha,Patibila,"Faruk ar bari mat para ",Patibila,,4,4,4,4,4,4,"In general , we need to be aware and we will not indulge in outsiders.",
2576,Chaugaschha,DCBTN-CIFF,,28-04-2021,"Community Meeting",0000,December,08-12-2020,09:35:34,08-12-2020,10:00:34,Khulna,Jashore,Chougachha,Patibila,"Ali box ar bari South para",Patibila,,4,4,3,3,4,4,"In general , we need to be aware and we will not indulge in outsiders.",
2577,Chaugaschha,DCBTN-CIFF,,28-04-2021,"Interactive Popular Theatre Show (IPT)",0000,December,08-12-2020,09:00:44,08-12-2020,09:35:44,Khulna,Jashore,Chougachha,Patibila,"Ali box ar bari South para",Patibila,,4,4,4,4,4,4,"In general , we need to be aware and we will not indulge in outsiders.",
2578,Chaugaschha,DCBTN-CIFF,,28-04-2021,"Community Meeting",0000,December,07-12-2020,16:35:01,07-12-2020,17:00:01,Khulna,Jashore,Chougachha,Fulsara,"Basar ar bari south para",Durgapur,,4,4,4,4,4,4,"In general , we need to be aware and we will not indulge in outsiders.",
2579,Chaugaschha,DCBTN-CIFF,,28-04-2021,"Interactive Popular Theatre Show (IPT)",0000,December,07-12-2020,16:00:14,07-12-2020,16:35:14,Khulna,Jashore,Chougachha,Fulsara,"Basarb ar bari south para",Durgapur,,4,4,4,4,4,4,"In general , we need to be aware and we will not indulge in outsiders.",
2580,Chaugaschha,DCBTN-CIFF,,28-04-2021,"Community Meeting",0000,December,07-12-2020,15:05:49,07-12-2020,15:30:49,Khulna,Jashore,Chougachha,Fulsara,"Rabiul islam ar bari uttor para",Durgapur,,4,4,4,4,3,3,"In general , we need to be aware and we will not indulge in outsiders.",
2581,Chaugaschha,DCBTN-CIFF,,28-04-2021,"Interactive Popular Theatre Show (IPT)",0000,December,07-12-2020,14:30:21,07-12-2020,15:05:21,Khulna,Jashore,Chougachha,Fulsara,"Rabiul islam ar bari uttor para",Durgapur,,4,4,4,4,4,4,"In general , we need to be aware and we will not indulge in outsiders.",
2582,Chaugaschha,DCBTN-CIFF,,28-04-2021,"Community Meeting",0000,December,07-12-2020,12:55:39,07-12-2020,13:20:39,Khulna,Jashore,Chougachha,Fulsara,"Kader ar bari ",KUTALIPUR,,4,4,4,4,4,4,"In general , we need to be aware and we will not indulge in outsiders.",
2583,Chaugaschha,DCBTN-CIFF,,28-04-2021,"Interactive Popular Theatre Show (IPT)",0000,December,07-12-2020,12:20:08,07-12-2020,12:55:08,Khulna,Jashore,Chougachha,Fulsara,"KADER AR BARI ",KUTALIPUR,,4,4,4,4,4,4,"In general , we need to be aware and we will not indulge in outsiders.",
2584,Chaugaschha,DCBTN-CIFF,,28-04-2021,"Community Meeting",0000,December,07-12-2020,11:25:00,07-12-2020,11:50:00,Khulna,Jashore,Chougachha,Fulsara,"MUBARAK AR BARI BISHAS PARA",KUTALIPUR,,4,4,4,4,4,4,"In general , we need to be aware and we will not indulge in outsiders.",
2585,Chaugaschha,DCBTN-CIFF,,28-04-2021,"Interactive Popular Theatre Show (IPT)",0000,December,07-12-2020,10:50:20,07-12-2020,11:25:20,Khulna,Jashore,Chougachha,Fulsara,"MUBARAK AR BARI BISHAS PARA",KUTALIPUR,,4,4,4,4,4,4,"In general , we need to be aware and we will not indulge in outsiders.",
2586,Chaugaschha,DCBTN-CIFF,,28-04-2021,"Community Meeting",0000,December,07-12-2020,10:05:11,07-12-2020,10:30:11,Khulna,Jashore,Chougachha,Fulsara,"NAZMUL AR BARI MODDAM PARA",KUTALIPUR,,3,3,4,4,4,4,"In general , we need to be aware and we will not indulge in outsiders.",
2587,Chaugaschha,DCBTN-CIFF,,28-04-2021,"Interactive Popular Theatre Show (IPT)",0000,December,07-12-2020,09:30:05,07-12-2020,10:05:05,Khulna,Jashore,Chougachha,Fulsara,"NAZMUL AR BARI MODDAM PARA",KUTALIPUR,,4,4,4,4,4,4,"In general , we need to be aware and we will not indulge in outsiders.",
2588,Manirampur,DCBTN-CIFF,,28-04-2021,"Community Meeting",0000,September,29-09-2020,04:35:00,29-09-2020,05:00:00,Khulna,Jashore,Manirampur,Shyamkur,"Dokkhin para",Ramnogor,06,4,4,4,4,4,4,"Good ",
2589,Chaugaschha,DCBTN-CIFF,,28-04-2021,"Community Meeting",0000,December,06-12-2020,16:35:18,06-12-2020,17:00:18,Khulna,Jashore,Chougachha,Dhuliani,"SHAHEB AR BARI MAJER PARA",Mukandopur,,3,3,4,4,3,3,"In general , we need to be aware and we will not indulge in outsiders.",
2590,Manirampur,DCBTN-CIFF,,28-04-2021,"Interactive Popular Theatre Show (IPT)",0000,September,29-09-2020,04:00:00,29-09-2020,04:35:00,Khulna,Jashore,Manirampur,Shyamkur,"Dokkhin para",Ramnogor,06,4,4,4,4,4,4,"Good ",
2591,Chaugaschha,DCBTN-CIFF,,28-04-2021,"Interactive Popular Theatre Show (IPT)",0000,December,06-12-2020,16:00:50,06-12-2020,16:35:50,Khulna,Jashore,Chougachha,Dhuliani,"Shaheb ar bari majer para",Mukandopur,,4,4,4,4,4,4,"In general , we need to be aware and we will not indulge in outsiders.",
2592,Chaugaschha,DCBTN-CIFF,,28-04-2021,"Community Meeting",0000,December,06-12-2020,15:05:55,06-12-2020,15:30:55,Khulna,Jashore,Chougachha,Dhuliani,"Anisur ar bari porbo para ",Mukandopur,,4,4,4,4,4,4,"In general , we need to be aware and we will not indulge in outsiders.",
2593,Manirampur,DCBTN-CIFF,,28-04-2021,"Community Meeting",0000,September,29-09-2020,03:05:00,29-09-2020,03:30:00,Khulna,Jashore,Manirampur,Shyamkur,"Math para",Ramnogor,06,4,4,4,4,4,4,"Good ",
2594,Chaugaschha,DCBTN-CIFF,,28-04-2021,"Interactive Popular Theatre Show (IPT)",0000,December,06-12-2020,14:30:47,06-12-2020,15:05:47,Khulna,Jashore,Chougachha,Dhuliani,"Anisur ar bari porbo para",Mukandopur,,4,4,4,4,4,4,"In general , we need to be aware and we will not indulge in outsiders.",
2595,Manirampur,DCBTN-CIFF,,28-04-2021,"Interactive Popular Theatre Show (IPT)",0000,September,29-09-2020,02:30:00,29-09-2020,03:05:00,Khulna,Jashore,Manirampur,Shyamkur,"Math para",Ramnogor,06,4,4,4,4,4,4,"Good ",
2596,Chaugaschha,DCBTN-CIFF,,28-04-2021,"Community Meeting",0000,December,06-12-2020,14:05:26,06-12-2020,14:30:26,Khulna,Jashore,Chougachha,Dhuliani,"DIPTI RANI MEMBAR BARI ",Fotepur,,3,3,3,3,4,4,"In general , we need to be aware and we will not indulge in outsiders.",
2597,Chaugaschha,DCBTN-CIFF,,28-04-2021,"Interactive Popular Theatre Show (IPT)",0000,December,06-12-2020,13:30:47,06-12-2020,14:05:47,Khulna,Jashore,Chougachha,Dhuliani,"DIPTI RANI MOHILA MEMBAR AR BARI ",Fotepur,,4,4,4,4,4,4,"In general , we need to be aware and we will not indulge in outsiders.",
2598,Chaugaschha,DCBTN-CIFF,,28-04-2021,"Community Meeting",0000,December,06-12-2020,12:05:13,06-12-2020,12:30:13,Khulna,Jashore,Chougachha,Dhuliani,"Abdur rasid ar bari bazaar para",Fotepur,,3,3,3,3,4,4,"In general , we need to be aware and we will not indulge in outsiders.",
2599,Manirampur,DCBTN-CIFF,,28-04-2021,"Community Meeting",0000,September,29-09-2020,12:35:00,29-09-2020,01:00:00,Khulna,Jashore,Manirampur,Shyamkur,"Morol para",Ramnogor,06,4,4,4,4,4,4,"Good ",
2600,Chaugaschha,DCBTN-CIFF,,28-04-2021,"Interactive Popular Theatre Show (IPT)",0000,December,06-12-2020,11:30:38,06-12-2020,12:05:38,Khulna,Jashore,Chougachha,Dhuliani,"Abdur rasid ar bari bazar para ",Fotepur,,4,4,4,4,4,4,"In general , we need to be aware and we will not indulge in outsiders.",
2601,Manirampur,DCBTN-CIFF,,28-04-2021,"Interactive Popular Theatre Show (IPT)",0000,September,29-09-2020,12:00:00,29-09-2020,12:35:00,Khulna,Jashore,Manirampur,Shyamkur,"Morol para",Ramnogor,06,4,4,4,4,4,4,"Good ",
2602,Chaugaschha,DCBTN-CIFF,,28-04-2021,"Community Meeting",0000,December,06-12-2020,10:05:42,06-12-2020,10:30:42,Khulna,Jashore,Chougachha,Dhuliani,"Alam ar bari porbo para",Fotepur,,3,3,4,3,3,3,"In general , we need to be aware and we will not indulge in outsiders.",
2603,Chaugaschha,DCBTN-CIFF,,28-04-2021,"Interactive Popular Theatre Show (IPT)",0000,December,06-12-2020,09:30:07,06-12-2020,10:05:07,Khulna,Jashore,Chougachha,Dhuliani,"Alam ar bari porbo para",Fotepur,,4,4,4,4,4,4,"In general , we need to be aware and we will not indulge in outsiders.",
2604,Manirampur,DCBTN-CIFF,,28-04-2021,"Community Meeting",0000,September,29-09-2020,10:05:00,29-09-2020,11:30:00,Khulna,Jashore,Manirampur,Shyamkur,"Moddho para",Ramnogor,06,4,4,4,4,4,4,"Good ",
2605,Manirampur,DCBTN-CIFF,,28-04-2021,"Interactive Popular Theatre Show (IPT)",0000,September,29-09-2020,10:30:00,29-09-2020,11:05:00,Khulna,Jashore,Manirampur,Shyamkur,"Moddho para",Ramnogor,06,4,4,4,4,4,4,"Good ",
2606,Chaugaschha,DCBTN-CIFF,,28-04-2021,"Community Meeting",0000,November,29-11-2020,16:35:50,29-11-2020,17:00:50,Khulna,Jashore,Chougachha,Chougachha,"Jurar ar bari mat para ",Moshumpur,,4,4,4,4,4,4,,
2607,Chaugaschha,DCBTN-CIFF,,28-04-2021,"Interactive Popular Theatre Show (IPT)",0000,November,29-11-2020,16:00:07,29-11-2020,16:35:07,Khulna,Jashore,Chougachha,,"Juran ar bari mat para",Moshumpur,,4,4,4,4,4,4,,
2608,Manirampur,DCBTN-CIFF,,28-04-2021,"Community Meeting",0000,September,29-09-2020,09:35:00,29-09-2020,10:00:00,Khulna,Jashore,Manirampur,Shyamkur,"Molla para",Shyamkur,05,4,4,4,4,4,4,"Good ",
2609,Chaugaschha,DCBTN-CIFF,,28-04-2021,"Community Meeting",0000,November,29-11-2020,15:05:32,29-11-2020,15:30:32,Khulna,Jashore,Chougachha,Chougachha,"Atiyar ar bari porbo para ",Bergobindopur,,4,4,4,4,4,4,g,
2610,Chaugaschha,DCBTN-CIFF,,28-04-2021,"Interactive Popular Theatre Show (IPT)",0000,November,29-11-2020,14:30:53,29-11-2020,15:05:53,Khulna,Jashore,Chougachha,,"Atiyar ar bari porbo para",Bergobindopur,,4,4,4,4,4,4,,
2611,Chaugaschha,DCBTN-CIFF,,28-04-2021,"Community Meeting",0000,November,29-11-2020,13:35:26,29-11-2020,14:00:26,Khulna,Jashore,Chougachha,Chougachha,"Gabinda ar bari haldar para",Bergobindopur,,4,4,4,4,4,4,,
2612,Chaugaschha,DCBTN-CIFF,,28-04-2021,"Interactive Popular Theatre Show (IPT)",0000,November,29-11-2020,13:00:59,29-11-2020,13:35:59,Khulna,Jashore,Chougachha,Chougachha,"Gobinda ar bari haldar para",Bergobindopur,,4,4,4,4,4,4,,
2613,Chaugaschha,DCBTN-CIFF,,28-04-2021,"Community Meeting",0000,November,29-11-2020,12:05:03,29-11-2020,12:30:03,Khulna,Jashore,Chougachha,,"HATRAT AR BARI GRAM POLIC",Bergobindopur,,4,4,4,4,4,4,,
2614,Chaugaschha,DCBTN-CIFF,,28-04-2021,"Interactive Popular Theatre Show (IPT)",0000,November,29-11-2020,11:30:15,29-11-2020,12:05:15,Khulna,Jashore,Chougachha,Chougachha,"HAZRAT AR BARI GRAM POLIC",Bergobindopur,,4,4,4,4,4,4,,
2615,Chaugaschha,DCBTN-CIFF,,28-04-2021,"Community Meeting",0000,November,29-11-2020,10:35:43,29-11-2020,11:00:43,Khulna,Jashore,Chougachha,Chougachha,"Alauddin ar bari ",Bergobindopur,,3,3,4,4,4,4,,
2616,Manirampur,DCBTN-CIFF,,28-04-2021,"Interactive Popular Theatre Show (IPT)",0000,September,29-09-2020,09:00:00,29-09-2020,09:35:00,Khulna,Jashore,Manirampur,Shyamkur,"Molla para",Shyamkur,05,4,4,4,4,4,4,"Good ",
2617,Chaugaschha,DCBTN-CIFF,,28-04-2021,"Interactive Popular Theatre Show (IPT)",0000,November,29-11-2020,10:00:57,29-11-2020,10:35:57,Khulna,Jashore,Chougachha,Chougachha,"Alauddin ar bari ",Bergobindopur,,4,4,4,4,3,3,,
2618,Jhikargasa,DCBTN-CIFF,,28-04-2021,"Community Meeting",0000,December,17-12-2020,16:05:00,17-12-2020,16:30:00,Khulna,Jashore,Jhikargacha,Gangananda,"School para",Ganganandapur,5,4,4,4,4,4,4,,
2619,Jhikargasa,DCBTN-CIFF,,28-04-2021,"Interactive Popular Theatre Show (IPT)",0000,December,17-12-2020,15:30:00,17-12-2020,16:05:00,Khulna,Jashore,Jhikargacha,Gangananda,"School para",Ganganandapur,5,4,4,4,4,4,4,,
2620,Jhikargasa,DCBTN-CIFF,,28-04-2021,"Community Meeting",0000,December,17-12-2020,14:35:00,17-12-2020,15:00:00,Khulna,Jashore,Jhikargacha,Gangananda,"Khal para",Sutipur,4,4,4,4,4,4,4,,
2621,Jhikargasa,DCBTN-CIFF,,28-04-2021,"Interactive Popular Theatre Show (IPT)",0000,December,17-12-2020,14:00:00,17-12-2020,14:35:00,Khulna,Jashore,Jhikargacha,Gangananda,"Khal para",Sutipur,4,4,4,4,4,4,4,,
2622,Jhikargasa,DCBTN-CIFF,,28-04-2021,"Community Meeting",0000,December,17-12-2020,12:35:00,17-12-2020,13:00:00,Khulna,Jashore,Jhikargacha,Gangananda,"Dokin para",Kagmari,9,4,4,4,4,4,4,,
2623,Jhikargasa,DCBTN-CIFF,,28-04-2021,"Interactive Popular Theatre Show (IPT)",0000,December,17-12-2020,12:00:00,17-12-2020,12:35:00,Khulna,Jashore,Jhikargacha,Gangananda,Dokinpara,Kagmari,9,4,4,4,4,4,4,,
2624,Manirampur,DCBTN-CIFF,,28-04-2021,"Community Meeting",0000,September,28-09-2020,04:35:00,28-09-2020,05:00:00,Khulna,Jashore,Manirampur,Manirampur,"Selai center",Bijoyrampur,09,4,4,4,4,4,4,"Good ",
2625,Manirampur,DCBTN-CIFF,,28-04-2021,"Interactive Popular Theatre Show (IPT)",0000,September,28-09-2020,04:00:00,28-09-2020,04:35:00,Khulna,Jashore,Manirampur,Manirampur,"Selai center",Bijoyrampur,09,4,4,4,4,4,4,"Good ",
2626,Manirampur,DCBTN-CIFF,,28-04-2021,"Community Meeting",0000,September,28-09-2020,03:05:00,28-09-2020,03:30:00,Khulna,Jashore,Manirampur,Manirampur,"Moddho para",Bijoyrampur,09,4,4,4,4,4,4,"Good ",
2627,Jhikargasa,DCBTN-CIFF,,28-04-2021,"Community Meeting",0000,December,17-12-2020,11:05:00,17-12-2020,11:30:00,Khulna,Jashore,Jhikargacha,Gangananda,"Pochim para",Kagmari,4,4,4,4,4,4,4,,
2628,Manirampur,DCBTN-CIFF,,28-04-2021,"Interactive Popular Theatre Show (IPT)",0000,September,28-09-2020,02:30:00,28-09-2020,03:05:00,Khulna,Jashore,Manirampur,Manirampur,"Moddho para",Bijoyrampur,09,4,4,4,4,4,4,"Good ",
2629,Jhikargasa,DCBTN-CIFF,,28-04-2021,"Interactive Popular Theatre Show (IPT)",0000,December,17-12-2020,10:30:00,17-12-2020,11:05:00,Khulna,Jashore,Jhikargacha,Gangananda,"Pochim para",Kagmari,4,4,4,4,4,4,4,,
